"código","nome do território","Data Eleição","total de freguesias","inscritos","votantes","brancos","nulos","votos validamente expressos","André Ventura","António José Seguro"
"1804","Cinfães",08-02-2026,14,15721,8382,164,125,8093,2592,5501
"1805","Lamego",08-02-2026,18,23002,13325,259,279,12787,4586,8201
"1806","Mangualde",08-02-2026,12,17737,9369,245,139,8985,3491,5494
"1807","Moimenta da Beira",08-02-2026,16,9949,5188,147,75,4966,2016,2950
"1808","Mortágua",08-02-2026,7,8137,4187,185,56,3946,1098,2848
"1809","Nelas",08-02-2026,7,12304,6662,168,112,6382,2351,4031
"1810","Oliveira de Frades",08-02-2026,8,8555,5238,185,79,4974,1924,3050
"1811","Penalva do Castelo",08-02-2026,11,7208,4094,106,63,3925,1406,2519
"1812","Penedono",08-02-2026,7,2735,1449,41,31,1377,569,808
"1813","Resende",08-02-2026,11,9650,5310,110,119,5081,1514,3567
"1814","Santa Comba Dão",08-02-2026,6,10101,5408,218,68,5122,1747,3375
"1815","São João da Pesqueira",08-02-2026,11,6382,3488,74,55,3359,1417,1942
"1816","São Pedro do Sul",08-02-2026,14,14532,8408,277,135,7996,2758,5238
"1817","Sátão",08-02-2026,9,12057,6128,148,107,5873,2305,3568
"1818","Sernancelhe",08-02-2026,13,5003,3057,80,53,2924,1176,1748
"1819","Tabuaço",08-02-2026,13,4556,2564,65,35,2464,1075,1389
"1820","Tarouca",08-02-2026,9,7182,4036,96,73,3867,1611,2256
"1821","Tondela",08-02-2026,22,24140,13920,488,207,13225,4539,8686
"1822","Vila Nova de Paiva",08-02-2026,5,5634,2555,102,31,2422,990,1432
"1823","Viseu",08-02-2026,25,92659,55149,1789,968,52392,17749,34643
"1824","Vouzela",08-02-2026,9,8734,5249,203,74,4972,1773,3199
"3101","Calheta",08-02-2026,8,12483,6483,65,151,6267,2971,3296
"3102","Câmara de Lobos",08-02-2026,5,32934,17407,188,441,16778,8358,8420
"3103","Funchal",08-02-2026,10,104181,58302,739,1704,55859,22835,33024
"3104","Machico",08-02-2026,5,19985,10987,85,208,10694,4325,6369
"3105","Ponta do Sol",08-02-2026,3,9936,5059,43,131,4885,2350,2535
"3106","Porto Moniz",08-02-2026,4,3103,1691,28,51,1612,679,933
"3107","Ribeira Brava",08-02-2026,4,14237,7446,83,234,7129,3503,3626
"3108","Santa Cruz",08-02-2026,5,40337,24062,269,619,23174,10159,13015
"3109","Santana",08-02-2026,6,6845,3859,41,79,3739,1532,2207
"3110","São Vicente",08-02-2026,3,5964,2954,37,61,2856,1540,1316
"3201","Porto Santo",08-02-2026,1,5648,3118,43,81,2994,1348,1646
"4101","Vila do Porto",08-02-2026,5,5151,2126,85,15,2026,541,1485
"4201","Lagoa",08-02-2026,5,13187,5570,153,71,5346,2166,3180
"4202","Nordeste",08-02-2026,9,4859,2035,65,34,1936,704,1232
"4203","Ponta Delgada",08-02-2026,24,65375,27440,747,400,26293,9283,17010
"4204","Povoação",08-02-2026,6,6200,2313,70,31,2212,932,1280
"4205","Ribeira Grande",08-02-2026,14,29390,10410,279,133,9998,4327,5671
"4206","Vila Franca do Campo",08-02-2026,6,10450,3872,118,48,3706,1705,2001
"4301","Angra do Heroísmo",08-02-2026,19,33354,15224,564,228,14432,3918,10514
"4302","Vila da Praia da Vitória",08-02-2026,11,19853,8098,315,67,7716,2380,5336
"4401","Santa Cruz da Graciosa",08-02-2026,4,3851,1487,94,17,1376,315,1061
"4501","Calheta",08-02-2026,5,3635,1475,45,15,1415,372,1043
"4502","Velas",08-02-2026,6,5012,2187,94,22,2071,638,1433
"4601","Lajes do Pico",08-02-2026,6,4448,1984,98,22,1864,450,1414
"4602","Madalena",08-02-2026,6,6051,2704,140,20,2544,754,1790
"4603","São Roque do Pico",08-02-2026,5,3317,1510,61,12,1437,432,1005
"4701","Horta",08-02-2026,13,12974,6054,280,47,5727,1406,4321
"4801","Lajes das Flores",08-02-2026,7,1246,593,21,9,563,151,412
"4802","Santa Cruz das Flores",08-02-2026,4,1806,850,22,9,819,242,577
"4901","Corvo",08-02-2026,1,379,183,9,0,174,39,135
,,,,,,,,,,
,,"Percentagem de votos dos candidatos é calculada sobre os votos validamente expressos (em branco e nulos excluídos).",,,,,,,,
,,,,,,,,,,
"Fonte: SGMAI-AE-DSIE,  última atualização - 15 de fevereiro 2026",,,,,,,,,,
