01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
1961,Itália,,Mulheres,,,,x,
1961,Itália,,Total,,,,x,
1961,Letónia,,Homens,,,,x,
1961,Letónia,,Mulheres,,,,x,
1961,Letónia,,Total,,,,x,
1961,Lituânia,,Homens,,,,x,
1961,Lituânia,,Mulheres,,,,x,
1961,Lituânia,,Total,,,,x,
1961,Luxemburgo,,Homens,,,,x,
1961,Luxemburgo,,Mulheres,,,,x,
1961,Luxemburgo,,Total,,,,x,
1961,Malta,,Homens,,,,x,
1961,Malta,,Mulheres,,,,x,
1961,Malta,,Total,,,,x,
1961,Países Baixos,,Homens,,,,x,
1961,Países Baixos,,Mulheres,,,,x,
1961,Países Baixos,,Total,,,,x,
1961,Polónia,,Homens,,,,x,
1961,Polónia,,Mulheres,,,,x,
1961,Polónia,,Total,,,,x,
1961,Portugal,,Homens,,,,,59.9
1961,Portugal,,Mulheres,,,,,65.4
1961,Portugal,,Total,,,,,62.7
1961,Roménia,,Homens,,,,x,
1961,Roménia,,Mulheres,,,,x,
1961,Roménia,,Total,,,,x,
1961,Suécia,,Homens,,,,x,
1961,Suécia,,Mulheres,,,,x,
1961,Suécia,,Total,,,,x,
1962,Alemanha,,Homens,,,,x,
1962,Alemanha,,Mulheres,,,,x,
1962,Alemanha,,Total,,,,x,
1962,Áustria,,Homens,,,,x,
1962,Áustria,,Mulheres,,,,x,
1962,Áustria,,Total,,,,x,
1962,Bélgica,,Homens,,,,,67.4
1962,Bélgica,,Mulheres,,,,,73.2
1962,Bélgica,,Total,,,,,70.3
1962,Bulgária,,Homens,,,,,67.8
1962,Bulgária,,Mulheres,,,,,71.5
1962,Bulgária,,Total,,,,,69.6
1962,Chéquia,,Homens,,,,,66.9
1962,Chéquia,,Mulheres,,,,,72.9
1962,Chéquia,,Total,,,,,70.0
1962,Chipre,,Homens,,,,x,
1962,Chipre,,Mulheres,,,,x,
1962,Chipre,,Total,,,,x,
1962,Croácia,,Homens,,,,x,
1962,Croácia,,Mulheres,,,,x,
1962,Croácia,,Total,,,,x,
1962,Dinamarca,,Homens,,,,x,
1962,Dinamarca,,Mulheres,,,,x,
1962,Dinamarca,,Total,,,,x,
1962,Eslováquia,,Homens,,,,,68.0
1962,Eslováquia,,Mulheres,,,,,72.7
1962,Eslováquia,,Total,,,,,70.4
1962,Eslovénia,,Homens,,,,x,
1962,Eslovénia,,Mulheres,,,,x,
1962,Eslovénia,,Total,,,,x,
1962,Espanha,,Homens,,,,x,
1962,Espanha,,Mulheres,,,,x,
1962,Espanha,,Total,,,,x,
1962,Estónia,,Homens,,,,,65.6
1962,Estónia,,Mulheres,,,,,73.2
1962,Estónia,,Total,,,,,69.8
1962,Finlândia,,Homens,,,,x,
1962,Finlândia,,Mulheres,,,,x,
1962,Finlândia,,Total,,,,x,
1962,França,,Homens,,,,x,
1962,França,,Mulheres,,,,x,
1962,França,,Total,,,,x,
1962,Grécia,,Homens,,,,,69.9
1962,Grécia,,Mulheres,,,,,73.4
1962,Grécia,,Total,,,,,71.7
1962,Hungria,,Homens,,,,,65.7
1962,Hungria,,Mulheres,,,,,70.1
1962,Hungria,,Total,,,,,67.9
1962,Irlanda,,Homens,,,,x,
1962,Irlanda,,Mulheres,,,,x,
1962,Irlanda,,Total,,,,x,
1962,Itália,,Homens,,,,x,
1962,Itália,,Mulheres,,,,x,
1962,Itália,,Total,,,,x,
1962,Letónia,,Homens,,,,x,
1962,Letónia,,Mulheres,,,,x,
1962,Letónia,,Total,,,,x,
1962,Lituânia,,Homens,,,,x,
1962,Lituânia,,Mulheres,,,,x,
1962,Lituânia,,Total,,,,x,
1962,Luxemburgo,,Homens,,,,x,
1962,Luxemburgo,,Mulheres,,,,x,
1962,Luxemburgo,,Total,,,,x,
1962,Malta,,Homens,,,,x,
1962,Malta,,Mulheres,,,,x,
1962,Malta,,Total,,,,x,
1962,Países Baixos,,Homens,,,,x,
1962,Países Baixos,,Mulheres,,,,x,
1962,Países Baixos,,Total,,,,x,
1962,Polónia,,Homens,,,,x,
1962,Polónia,,Mulheres,,,,x,
1962,Polónia,,Total,,,,x,
1962,Portugal,,Homens,,,,,61.2
1962,Portugal,,Mulheres,,,,,67.0
1962,Portugal,,Total,,,,,64.2
1962,Roménia,,Homens,,,,x,
